,name,price,imgURL
207,"realme X2 Pro (Neptune Blue, 128 GB)",25999.0,https://rukminim2.flixcart.com/image/312/312/k391w280/mobile/z/c/m/realme-x2-pro-rmx1931-original-imafmf597chy5p8u.jpeg?q=70
208,"realme GT 2 Pro (Paper Green, 256 GB)",57999.0,https://rukminim2.flixcart.com/image/312/312/l3rmzrk0/mobile/5/o/q/-original-imagetmenznfey7h.jpeg?q=70
209,"realme 6 (Comet Blue, 128 GB)",16999.0,https://rukminim2.flixcart.com/image/312/312/k7dnonk0/mobile/7/n/f/realme-6-rbs0605in-original-imafpmftxfvhbrm9.jpeg?q=70
210,"realme 3 Pro (Nitro Blue, 64 GB)",13999.0,https://rukminim2.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/3/e/u/3-pro-64-c-rmx1851-realme-6-original-imaffnumnkjexsuy.jpeg?q=70
211,"realme 2 (Diamond Red, 32 GB)",9990.0,https://rukminim2.flixcart.com/image/312/312/jlcmavk0/mobile/y/z/h/realme-2-rmx805-original-imaf8hxd9uwgg5gu.jpeg?q=70
212,"realme Narzo 30 5G (Racing Blue, 64 GB)",15499.0,https://rukminim2.flixcart.com/image/312/312/kq18n0w0/mobile/d/l/f/narzo-30-5g-rmx3242-realme-original-imag45yjdkgxddvh.jpeg?q=70
213,"realme 6i (Eclipse Black, 64 GB)",14999.0,https://rukminim2.flixcart.com/image/312/312/kcjexe80/mobile/u/k/j/realme-6i-rmx2002-original-imaftnfyhwxdruv2.jpeg?q=70
214,"realme 6i (Eclipse Black, 64 GB)",15999.0,https://rukminim2.flixcart.com/image/312/312/kcjexe80/mobile/u/k/j/realme-6i-rmx2002-original-imaftnfyhwxdruv2.jpeg?q=70
215,"realme 6i (Lunar White, 64 GB)",14999.0,https://rukminim2.flixcart.com/image/312/312/kcjexe80/mobile/w/j/9/realme-6i-rmx2002-original-imaftngrxb8bg9jr.jpeg?q=70
216,"realme X2 Pro (Lunar White, 256 GB)",33999.0,https://rukminim2.flixcart.com/image/312/312/k391w280/mobile/h/v/n/realme-x2-pro-rmx1931-original-imafmf59mzagxp2j.jpeg?q=70
217,"realme X2 Pro (Neptune Blue, 128 GB)",25999.0,https://rukminim2.flixcart.com/image/312/312/k391w280/mobile/z/c/m/realme-x2-pro-rmx1931-original-imafmf597chy5p8u.jpeg?q=70
218,"realme GT 2 Pro (Paper Green, 256 GB)",57999.0,https://rukminim2.flixcart.com/image/312/312/l3rmzrk0/mobile/5/o/q/-original-imagetmenznfey7h.jpeg?q=70
